name,type,criticality,description,interfaces,data_flows
Shibi Neural Core,HARDWARE,VERY_HIGH,"Advanced AI computing platform with neural processing unit for real-time decision making","Ethernet 10G,PCIe 5.0,CAN-FD,Neural Bus","AI inference,Sensor fusion,Control decisions,Learning data"
HoloView Display System,SOFTWARE,HIGH,"Augmented reality windshield display with gesture and eye tracking control","MIPI-DSI,USB4,WiFi 7,Cameras","AR overlays,User interactions,Navigation data,Safety warnings"
SkyLink Connectivity Hub,COMMUNICATION,VERY_HIGH,"Satellite and 6G connectivity for global communication and updates","6G NR,Starlink,WiFi 7,Bluetooth 6.0","Satellite data,6G communications,Global updates,Emergency services"
Quantum Security Module,HARDWARE,VERY_HIGH,"Quantum-resistant cryptographic processor for vehicle security","Secure Element,HSM,TPM 3.0","Encryption keys,Authentication,Secure boot,Digital certificates"
FlexChassis Dynamics,HARDWARE,VERY_HIGH,"Adaptive chassis system with morphing capabilities for terrain optimization","CAN-FD,FlexRay,LIN,Hydraulics","Chassis configuration,Terrain adaptation,Stability control,Performance data"
BioSync Health Monitor,SOFTWARE,MEDIUM,"Continuous driver and passenger health monitoring system","Sensors,WiFi,Bluetooth,Cloud","Biometric data,Health metrics,Emergency alerts,Wellness recommendations"
SolarWing Energy System,HARDWARE,HIGH,"Integrated solar panels with smart energy management and grid-tie capability","DC Power,MPPT,Grid-Tie,CAN","Solar generation,Energy storage,Grid interaction,Power optimization"
AeroShield Protection,HARDWARE,MEDIUM,"Active aerodynamic system with debris deflection and weather adaptation","CAN,Actuators,Sensors,Air flow","Aerodynamic control,Debris deflection,Weather adaptation,Efficiency optimization"
Shibi Assistant AI,SOFTWARE,HIGH,"Advanced conversational AI assistant with emotional intelligence and learning","Microphones,Speakers,Cloud,Neural processing","Voice interactions,Emotional analysis,Personal learning,Contextual assistance"
VoidSpace Interior,HARDWARE,MEDIUM,"Transformable interior with mood-responsive environment and space optimization","LED arrays,Actuators,Sensors,CAN","Interior configuration,Mood lighting,Space optimization,Comfort control"
HyperCharge Network,COMMUNICATION,VERY_HIGH,"Ultra-fast wireless and contact charging with vehicle-to-vehicle power sharing","Wireless charging,V2V power,CCS3,Inductive","Charging protocols,Power sharing,Energy distribution,Grid services"
Guardian Angel Safety,SOFTWARE,VERY_HIGH,"Predictive safety system with accident prevention and autonomous emergency response","All vehicle sensors,V2X,Cloud,AI","Hazard prediction,Emergency response,Accident avoidance,Rescue coordination"
EcoFlow Climate,HARDWARE,MEDIUM,"Atmospheric processor with air purification and climate optimization","HVAC systems,Sensors,CAN,Filters","Air quality,Temperature control,Purification,Environmental optimization"
CyberShield Defense,SOFTWARE,VERY_HIGH,"Advanced cybersecurity system with AI-driven threat detection and response","All vehicle networks,Cloud,AI","Intrusion detection,Threat analysis,Security response,Forensics"
PhaseShift Transmission,HARDWARE,HIGH,"Variable geometry powertrain with adaptive drive modes and efficiency optimization","CAN-FD,Power electronics,Motor control","Power delivery,Efficiency optimization,Drive modes,Performance tuning"
